gloss,count
erase,166
drown,165
shave,165
pineapple,159
envelope,159
dog,139
stethoscope,137
gloves,135
scarf,134
jacket,134
castle,134
follow,134
knight,134
yawn,133
chew,132
strawberry,132
pipe,132
necklace,132
bow,132
cry,131
sandwich,131
magnet,131
bury,129
slice,128
handsome,128
cool,127
flashlight,127
stack,127
fork,126
banana,126
pop,125
cloud,124
tow,105
skateboarding,104
iron,103
parachute,103
sharpen,103
conduct,102
oil,102
somersault,101
windmill,101
elevator,100
bark,100
file,100
mix,100
cross,99
knitting,99
dolphin,99
hairdryer,99
screwdriver,98
shoulder,98
helicopter,98
spread,98
meditate,98
microscope,98
kangaroo,98
float,98
wristwatch,98
gun,97
glass,97
bra,97
pillow,97
peel,97
peg,97
right,97
sweater,97
lobster,96
corn,96
basketball,96
bat,96
stamp,96
toy,95
patient,95
story,95
arm,95
catch,95
lock,95
rhino,95
arrest,95
dip,94
what for,94
kiss,94
cat,91
carrot,91
sail,77
hippo,72
sentence,72
underwear,71
shake,71
pants,70
glue,70
soap,69
razor,69
river,69
feed,69
bed,69
swing,68
walk,68
hurdle trip,68
tall,68
sunbathe,68
baby,68
blinds,68
drag,68
run,67
frown,67
truck,67
blow candle,67
tie up,67
dedicate,67
autism,67
dentist,67
night,67
lemon,67
pet,67
peach,67
about,67
rocking chair,67
greet,67
shovel,66
curtsey,66
duck,66
wash,66
minimum,66
lift,66
helmet,66
pinch,66
shop,66
belt,66
third,66
what,66
clock,66
swim,66
candy,66
want,66
mail,66
believe,66
can,66
talk,66
teach,66
cute,66
hoodie,66
peas,66
recent,66
buckle,66
shark,66
all,66
imagine,65
magnify,65
deaf,65
halloween,65
soon,65
we,65
axe,65
cancel,65
turkey,65
mechanic,65
videocamera,65
boots,65
drink,65
kite,65
confused,65
bag,65
fold,65
relax,65
dinner,65
saw,65
meat,65
basket,65
foreigner,65
doctor,65
empty,65
cheerleader,65
opinion,65
bridge,65
plow,65
bite,65
city,65
shirt,65
pour,65
rabbit,65
serve,65
model,65
honey,64
decorate,64
motivation,64
trip,64
party,64
roar,64
fishing,64
fireman,64
christmas,64
hit,64
