GLOSS,COUNT
UP,489
OUT,337
OFF,243
ENVELOPE,213
MIND,182
DOWN,180
MORE,154
SEE,154
SHAVE,153
MONEY,153
TIME,153
PINEAPPLE,152
ON,152
SCHOOL,152
ERASE,152
DROWN,150
FOR,149
DOG,123
TRIP,123
HANDSOME,123
MAGNET,123
FLASHLIGHT,123
CRY,123
NOTHING,123
CASTLE,123
GLOVES,123
YAWN,123
FORK,123
BURY,122
COOL,122
LIKE,122
ARM,122
PIPE,122
YOU,122
SANDWICH,122
STRAWBERRY,122
BANANA,122
TOGETHER,122
CHEW,121
NECKLACE,121
BOW,121
SCARF,121
JACKET,121
FACE,121
FOLLOW,120
SLICE,120
POP,120
KNIGHT,120
CA,120
STACK,120
CANDLE,119
CLOUD,119
STETHOSCOPE,118
WRISTWATCH,94
CORN,94
INTERESTED,94
RIGHT,94
PERSON,94
WANT,93
BED,93
KANGAROO,93
SAME,93
GO,93
MEDITATE,93
NIGHT,93
HANDS,93
SKATEBOARDING,93
PEG,93
SCREWDRIVER,92
CONVINCE,92
MICROSCOPE,92
MACHINE,92
SOAP,92
CROSS,92
BASKETBALL,92
WORD,92
OVER,92
SWEATER,92
YEAR,92
CARE,92
ARREST,92
SHARPEN,92
SIGN,92
ELEVATOR,92
PARACHUTE,92
STORY,92
TOW,92
PATIENT,92
CHAIR,92
MIX,92
TOY,92
GLASS,92
SHOULDER,92
EYES,92
DEAF,92
PEEL,91
RHINO,91
ROOM,91
IN,91
OF,91
WINDMILL,91
KNOW,91
GAME,91
BAT,91
FLOAT,91
BACK,91
HAIRDRYER,91
GUN,91
SPREAD,91
BARK,91
CATCH,91
OIL,91
KNITTING,91
FILE,91
STAMP,91
KISS,91
LOCK,91
PILLOW,91
CAT,90
BRA,90
HELICOPTER,90
HOUR,90
TO,90
IRON,90
DAY,90
SOMERSAULT,90
DOLPHIN,90
BELIEVE,90
CARROT,89
HAIR,89
LOBSTER,89
DIP,89
CONDUCT,87
HOSPITAL,63
WHAT,63
THIEF,63
MOVIE,63
BRIDGE,63
SERVE,63
GONE,63
PONDER,63
FALL,63
SHOP,63
CITY,63
AUTISM,63
EAT,63
HEARING,63
DO,63
TTY,63
MAIL,62
CARD,62
WALK,62
WELCOME,62
PLUG,62
CLOSE,62
RIP,62
MODEL,62
CUTE,62
WASH,62
BOWLING,62
SITUATION,62
OTHER,62
WALL,62
TURN,62
SNEEZE,62
CANDY,62
FINE,62
WOMAN,62
SLIP,62
MEMORIZE,62
MAGNIFY,62
FOREIGNER,62
BATTERY,62
HOW,62
SOMETHING,62
CHRISTMAS,62
SHIRT,62
FOLD,62
DARK,62
ABOUT,62
POUR,62
DRAG,62
POLICEMAN,62
WHISTLE,62
MUCH,62
HEART,62
COMB,62
PARTY,62
MEAT,62
PIZZA,62
BAKE,62
SHAKE,62
SOON,62
UNDERSTAND,62
BITE,62
ONE,62
HIPPO,62
THROUGH,62
BAG,62
DENTIST,62
HERE,62
PEAS,62
SOCCER,62
ALONE,62
PERFUME,62
IMAGINE,62
AWAKE,62
FOREVER,62
BELT,62
SKI,62
CHEEK,62
YOUR,62
TEACH,62
DISAPPEAR,62
TALK,62
LUNCH,62
MEASURE,62
BASKET,62
BREAKFAST,62
PEACH,62
HELMET,62
AT,62
HIT,61
DEMAND,61
NOON,61
AXE,61
MOUTH,61
UNDERWEAR,61
SLIDE,61
HOODIE,61
RIDE,61
CORKSCREW,61
PROBLEM,61
FEED,61
DINNER,61
TURKEY,61
LESSON,61
GUILLOTINE,61
ALL,61
SMILE,61
ORDER,61
FENCE,61
HOLD,61
BUCKLE,61
GRIND,61
KEY,61
ROPE,61
SHOVEL,61
BLINDS,61
PANTS,61
CAN,61
LINE,61
CRAWL,61
CLOSET,61
HATCH,61
TIE,61
VIDEOCAMERA,61
PAPER,61
BUTTER,61
RAZOR,61
MOUNTAIN,61
MEXICAN,61
AWARD,61
THROW,61
HONEY,61
PILL,61
POINT,61
BOOK,61
SENTENCE,61
DOCTOR,61
MOTIVATION,61
TWINS,61
UPSET,61
CARDS,61
DOOR,61
START,61
SHOOT,61
LEMON,61
SUPPORT,61
MOUSE,61
CLIPPER,61
NUT,61
ATTENTION,61
MEAN,61
MECHANIC,61
DOWNSIZE,61
SICK,61
RUN,61
PLOW,61
FROWN,61
RECENT,61
RIVER,61
TOP,61
LETTER,61
BEANS,61
EDIT,61
DECIDE,61
DRINK,61
BOIL,61
WAY,61
WITCH,61
MINIMUM,61
WEEK,61
MAD,61
AID,61
MILK,61
LAMP,61
TRUCK,61
SWING,61
CANCER,61
OPEN,61
RESEARCH,61
REMEMBER,61
BORED,61
CURTSEY,61
ENOUGH,61
LIFT,61
BABY,61
ERUPT,61
DECORATE,61
HALLOWEEN,61
CREAM,61
RABBIT,61
US,61
SPILL,61
HAT,61
LICK,61
ME,61
GREET,61
JUICE,61
GLUE,61
CLOCK,61
STUPID,61
CHIN,61
OPINION,61
CANCEL,60
WALLET,60
SHARP,60
DEDICATE,60
BODY,60
TALL,60
OBSESS,60
EMPTY,60
TOUCH,60
BACKPACK,60
WADE,60
LOAD,60
SLED,60
CRACKER,60
GRAPES,60
STAND,60
SAIL,60
CALENDAR,60
KICK,60
BUSINESS,60
STRETCH,60
BEE,60
LIVE,60
DROP,60
BASEBALL,60
NOT,60
AWAY,60
CHERRY,60
HEAR,60
GOAL,60
TAIL,60
DUCK,60
SHOUT,60
BOOTS,60
PINCH,60
KNIFE,60
SAW,60
RELAX,60
BLEED,60
SHARK,60
FIREMAN,60
SPECIAL,60
NECK,60
DIRTY,60
THIRD,60
CALL,60
CONFUSED,60
PET,60
NEED,60
DEVELOP,60
TYPE,60
CHEERLEADER,60
SWIM,60
LEAF,60
ROCKET,60
LANGUAGE,59
CHEAT,59
CLOTHES,59
MOP,59
LETTUCE,59
FAUCET,59
AGO,59
STRAIN,59
CURL,59
EAGLE,59
WEIGHT,59
GUESS,59
FLAG,59
SNOW,59
SUNBATHE,59
FISHING,59
DINOSAUR,59
SUSPENDERS,59
ACCIDENT,59
KITE,59
TRIM,59
ROAR,59
THEY,58
MOTORCYCLE,32
HAMMER,32
ANYONE,32
SWITZERLAND,32
COCACOLA,32
TRAVEL,32
WORM,32
FRIENDLY,32
CEMETERY,32
BEATER,32
HUSBAND,32
BOY,32
WINK,32
STRANGE,32
WISH,32
CHASE,32
FAIL,32
AND,32
STOMACH,32
BEHAVIOR,32
WHY,32
SLOW,32
VIDEOPHONE,32
EXPLANATION,32
HEALTH,32
AFTER,32
LATER,32
CHARACTER,32
ACTION,32
CIGARETTE,32
FLUTE,32
PLAY,32
ASLEEP,32
CLEAR,32
PSYCHOLOGY,32
FOUR,32
CAPTURE,32
FAULT,32
STICKY,32
CANCELLATION,32
CHANNEL,32
KING,32
VIEW,32
EGYPT,32
BOXING,32
BECAUSE,32
GULLIBLE,32
RECORDING,32
BROTHER,32
COOKIE,32
SHINY,32
GREECE,32
COCAINE,32
BATH,32
DOLLARS,32
ADVERTISE,32
VOTE,32
GREEN,32
SUSPECT,32
EUROPE,32
CABINET,32
WHO,32
FINISH,32
CONCEPT,32
FARM,32
SPEAKERS,32
TEXT,32
WORK,32
CATHOLIC,32
FEW,32
TEAM,32
EMBARRASS,32
TWO,32
FAVORITE,32
BASEMENT,32
SSHH,32
BOTTLE,32
INVITE,32
LIGHTER,32
COMPLEX,32
IMPORTANT,32
CHAIN,32
HELLO,32
FRACTION,32
BRAIDS,32
TEMPTATION,32
LAUGH,32
MUSTACHE,32
FILTER,32
PAIN,32
MOTHER,32
MORNING,32
DANCE,32
SKATE,32
LIPSTICK,32
UNIVERSITY,32
EXPERIENCE,32
BRAVE,32
NORTH,32
GRATER,32
PEEKABOO,32
THINGS,32
TRAIN,32
JOKE,32
ENTER,32
APPEARANCE,32
TROUBLE,32
BUTTERFLY,32
BOWL,32
PEPSI,32
MAYBE,32
NAME,32
ALPHABET,32
THAT,32
ALARM,32
WHICH,32
RAIN,32
CAP,32
ANGRY,32
SOCIETY,32
CHOCOLATE,32
BLOOD,32
CATEGORY,32
GRENADE,32
SURPRISE,32
RED,32
HOPE,32
SUDDEN,32
APPEAR,32
DRESS,32
EACH,32
SCARED,32
STEAL,32
FUTURE,32
SINK,32
APPLE,32
GIFT,32
SEW,32
WEAR,32
BORROW,32
EDGE,31
ROBOT,31
GRAB,31
TRADITION,31
GROUP,31
MASCARA,31
RULE,31
PILE,31
WINTER,31
LIPREAD,31
GRAY,31
BOSS,31
THUMB,31
ACT,31
PLANT,31
PITCHER,31
CONFIDENTIAL,31
CHAMPION,31
KITTEN,31
WAVE,31
WANDER,31
SUPERIOR,31
FROG,31
MAPLE,31
PRAYER,31
LOUD,31
LENS,31
PAPERCUTTER,31
JEWELRY,31
SHY,31
EVERYDAY,31
UMBRELLA,31
GOOD,31
ACCORDION,31
SPIDER,31
