Gloss,Instances
Arm,61
About,40
Analyze,32
America,31
Aunt,31
Always,31
And,31
Angry,31
Answer,31
Australia,31
Argue,31
Arrest1,31
Article,31
Asia,31
Ask,31
Attention,31
Astronaut,31
Angel,30
Alphabet,30
Assist,30
At,30
Arrest2,30
Animal,30
Announce,30
Apart,30
A Little Bit,30
5 Dollars,30
Accordion,30
Apple,30
Assign,29
Articulate Sign,29
Any,29
Adult,29
Airplane,29
Address,29
Against,29
8 Hour,29
Action,29
Access,29
Absolutely Nothing,29
Admire,29
Automatic,29
Art,29
Assistant,29
Auditorium,29
Arizona,29
April,29
Antlers,29
Align,29
All,29
All Over_Body,28
All Gone,28
Archeology,28
All Of_Sudden,28
Autism1,28
Athlete,28
Audience,28
Again,28
Agency,28
Advantage,28
Adopt,28
Accident,28
Accomplish,28
Add,28
Alaska,28
Atlanta,28
Above,28
Africa,28
Addict,27
Agreement,27
Accountant,27
Accent,27
After,27
Autism2,27
Attitude,27
Army,27
Arrest3,27
Act,27
Area,27
Appear,27
Assembly,27
Accept,27
1 Dollar,26
A-Line Bob,26
9 Oclock,26
Advertise,26
Age,26
Actor,26
Alarm,26
Appointment,26
Anyone,26
Arrive,26
All Together,26
Alright,26
Alone,26
Alcohol,26
Abbreviate,25
Admit,25
Afternoon,25
Acquire,25
Amazing,25
All Over,25
All Day,25
All Way,25
Autism,2
