class,count
ABOUT,58
AUTISM_v2,40
ARM_v2,33
ARM_v1,31
ARREST_v1,31
5 DOLLARS,30
AFTER,30
ALPHABET,30
ADVERTISE,30
APPEAR,30
ANYONE,30
ACTION,30
ALL OF_SUDDEN,30
AND,30
ALARM,30
APPLE,30
ANGRY,30
ADDICT,29
AREA,29
AUTOMATIC,29
ALL WAY,29
ALONE,29
ALIGN,29
A LITTLE BIT,29
AMERICA,29
ASIA,29
ANY,29
ADVANTAGE,29
ABSOLUTELY NOTHING,29
ALWAYS,29
ARTICLE,29
ARIZONA,29
ARREST_v3,29
ASTRONAUT,29
ADD,29
AUDITORIUM,29
ACT,29
ATTITUDE,29
ANALYZE,29
ANNOUNCE,29
ACCOUNTANT,29
8 HOUR,29
AFRICA,29
ALL,29
ACCESS,29
ACCORDION,29
ALCOHOL,29
ANSWER,29
ASSISTANT,29
ASSEMBLY,29
ASSIST,29
9 OCLOCK,29
ALRIGHT,29
AT,29
ABOVE,29
ACTOR,29
ASK,29
ALL GONE,29
ADMIT,29
1 DOLLAR,29
ARMY,29
ABBREVIATE,29
ANIMAL,29
ALL OVER,29
AUNT,29
APPOINTMENT,28
A-LINE BOB,28
ACCEPT,28
ASSIGN,28
AGAINST,28
AGE,28
ARCHEOLOGY,28
ADOPT,28
ARTICULATE SIGN,28
AUSTRALIA,28
ANTLERS,28
APRIL,28
ALL TOGETHER,28
AGENCY,28
ADMIRE,28
AIRPLANE,28
ATHLETE,28
ADDRESS,28
ATLANTA,28
ART,28
AUDIENCE,28
ALASKA,28
ARGUE,28
AFTERNOON,28
ACCENT,28
ATTENTION,28
ALL DAY,28
ANGEL,28
ALL OVER_BODY,28
ACQUIRE,28
APART,28
AMAZING,27
AGAIN,27
ARRIVE,27
ADULT,27
AGREEMENT,27
ACCIDENT,27
ACCOMPLISH,27
ARREST_v2,26
ARM_v3,21
AUTISM_v1,19
