,precision,recall,f1-score,support
1 DOLLAR,0.8,1.0,0.8888888888888888,4.0
5 DOLLARS,0.8333333333333334,1.0,0.9090909090909091,5.0
9 OCLOCK,1.0,1.0,1.0,4.0
A LINE BOB,1.0,1.0,1.0,4.0
A LITTLE BIT,1.0,1.0,1.0,5.0
ABBREVIATE,1.0,1.0,1.0,4.0
ABOVE,1.0,1.0,1.0,5.0
ABSOLUTELY NOTHING,1.0,0.8,0.8888888888888888,5.0
ACCENT,1.0,1.0,1.0,5.0
ACCEPT,1.0,1.0,1.0,5.0
ACCESS,0.8333333333333334,1.0,0.9090909090909091,5.0
ACCIDENT,0.8333333333333334,1.0,0.9090909090909091,5.0
ACCOMPLISH,1.0,0.8,0.8888888888888888,5.0
ACCORDION,1.0,1.0,1.0,5.0
ACCOUNTANT,1.0,1.0,1.0,5.0
ACQUIRE,1.0,1.0,1.0,4.0
ACT,1.0,1.0,1.0,5.0
ACTION,1.0,1.0,1.0,5.0
ACTOR,1.0,1.0,1.0,4.0
ADD,1.0,1.0,1.0,5.0
ADDICT,1.0,1.0,1.0,5.0
ADDRESS,0.625,1.0,0.7692307692307693,5.0
ADMIRE,1.0,1.0,1.0,5.0
ADMIT,0.8,1.0,0.8888888888888888,4.0
ADOPT,1.0,1.0,1.0,5.0
ADULT,1.0,1.0,1.0,5.0
ADVANTAGE,1.0,1.0,1.0,5.0
ADVERTISE,1.0,1.0,1.0,4.0
AFRICA,1.0,1.0,1.0,5.0
AFTER,1.0,1.0,1.0,5.0
AGAIN,1.0,1.0,1.0,5.0
AGAINST,1.0,1.0,1.0,5.0
AGE,1.0,1.0,1.0,4.0
AGENCY,1.0,1.0,1.0,5.0
AGREEMENT,0.8333333333333334,1.0,0.9090909090909091,5.0
AIRPLANE,0.8333333333333334,1.0,0.9090909090909091,5.0
ALARM,0.8,1.0,0.8888888888888888,4.0
ALASKA,1.0,1.0,1.0,5.0
ALCOHOL,1.0,1.0,1.0,4.0
ALIGN,1.0,1.0,1.0,5.0
ALL,0.8,0.8,0.8,5.0
ALL DAY,1.0,1.0,1.0,4.0
ALL GONE,1.0,1.0,1.0,5.0
ALL OF SUDDEN,1.0,1.0,1.0,5.0
ALL OVER BODY,1.0,1.0,1.0,5.0
ALL TOGETHER,1.0,1.0,1.0,4.0
ALL WAY,1.0,1.0,1.0,4.0
ALONE,1.0,1.0,1.0,4.0
ALPHABET,0.8333333333333334,1.0,0.9090909090909091,5.0
ALWAYS,1.0,1.0,1.0,5.0
AMAZING,0.8,1.0,0.8888888888888888,4.0
AMERICA,1.0,0.8,0.8888888888888888,5.0
ANALYZE,1.0,0.8,0.8888888888888888,5.0
AND,1.0,1.0,1.0,5.0
ANGEL,1.0,1.0,1.0,5.0
ANGRY,1.0,0.8,0.8888888888888888,5.0
ANIMAL,0.7142857142857143,1.0,0.8333333333333334,5.0
ANNOUNCE,0.8333333333333334,1.0,0.9090909090909091,5.0
ANSWER,0.8333333333333334,1.0,0.9090909090909091,5.0
ANTLERS,1.0,1.0,1.0,5.0
ANY,1.0,1.0,1.0,5.0
APART,0.8333333333333334,1.0,0.9090909090909091,5.0
APPEAR,1.0,1.0,1.0,5.0
APPOINTMENT,1.0,1.0,1.0,4.0
APRIL,1.0,1.0,1.0,5.0
ARCHEOLOGY,1.0,0.8,0.8888888888888888,5.0
AREA,0.6,0.6,0.6,5.0
ARGUE,1.0,1.0,1.0,5.0
ARIZONA,1.0,0.6,0.75,5.0
ARM,0.8181818181818182,0.9,0.8571428571428571,10.0
ARMY,1.0,0.8,0.8888888888888888,5.0
ARREST1,1.0,1.0,1.0,5.0
ARREST2,1.0,1.0,1.0,5.0
ARREST3,1.0,1.0,1.0,5.0
ARRIVE,0.6666666666666666,0.5,0.5714285714285714,4.0
ART,0.8,0.8,0.8,5.0
ARTICLE,1.0,0.8,0.8888888888888888,5.0
ARTICULATE SIGN,1.0,1.0,1.0,5.0
ASIA,1.0,0.8,0.8888888888888888,5.0
ASSIGN,1.0,0.8,0.8888888888888888,5.0
ASTRONAUT,1.0,1.0,1.0,5.0
AT,1.0,1.0,1.0,5.0
ATHLETE,0.8333333333333334,1.0,0.9090909090909091,5.0
ATTENTION,1.0,1.0,1.0,5.0
ATTITUDE,0.7142857142857143,1.0,0.8333333333333334,5.0
AUDIENCE,0.8333333333333334,1.0,0.9090909090909091,5.0
AUDITORIUM,1.0,0.8,0.8888888888888888,5.0
AUNT,0.8,0.8,0.8,5.0
AUSTRALIA,1.0,1.0,1.0,5.0
AUTISM1,1.0,1.0,1.0,5.0
AUTISM2,1.0,1.0,1.0,5.0
AUTOMATIC,0.8333333333333334,1.0,0.9090909090909091,5.0
AWKWARD,1.0,1.0,1.0,5.0
BABY,0.8333333333333334,1.0,0.9090909090909091,10.0
BAD,1.0,1.0,1.0,5.0
BALL,1.0,1.0,1.0,5.0
BECAUSE,1.0,0.6,0.75,5.0
BEDROOM,1.0,0.8,0.8888888888888888,5.0
BEFORE,1.0,1.0,1.0,4.0
BEHIND,1.0,0.6,0.75,5.0
BICYCLE,1.0,1.0,1.0,5.0
BIG,1.0,0.8,0.8888888888888888,5.0
BIRTH,0.75,0.6,0.6666666666666666,5.0
BLUE,1.0,0.8,0.8888888888888888,5.0
BODY,1.0,1.0,1.0,5.0
BOOK,0.8333333333333334,1.0,0.9090909090909091,5.0
BORED,0.875,0.7,0.7777777777777778,10.0
BORROW,0.8333333333333334,1.0,0.9090909090909091,5.0
BOSS,1.0,1.0,1.0,5.0
BOY,1.0,1.0,1.0,5.0
BREAD,1.0,1.0,1.0,5.0
BREAK,0.8333333333333334,1.0,0.9090909090909091,5.0
BREAKDOWN,1.0,1.0,1.0,5.0
BROTHER,1.0,1.0,1.0,5.0
BUS,1.0,1.0,1.0,5.0
BUT,1.0,1.0,1.0,5.0
BUTTER,1.0,1.0,1.0,5.0
BUY,0.8,0.8,0.8,5.0
CALL,1.0,0.9,0.9473684210526315,10.0
CAMERA,1.0,1.0,1.0,5.0
CAN,0.9,0.9,0.9,10.0
CANADA,1.0,0.4,0.5714285714285714,5.0
CANDY,0.8888888888888888,0.8,0.8421052631578947,10.0
CANNOT,1.0,1.0,1.0,5.0
CAR,1.0,1.0,1.0,5.0
CARRY,0.8333333333333334,1.0,0.9090909090909091,5.0
CENTER,1.0,1.0,1.0,5.0
CHAIR,0.7142857142857143,1.0,0.8333333333333334,5.0
CHALLENGE,0.7142857142857143,1.0,0.8333333333333334,5.0
CHAT,0.8333333333333334,1.0,0.9090909090909091,5.0
CHEAP,1.0,1.0,1.0,5.0
CHECK,1.0,0.8,0.8888888888888888,5.0
CHILD,0.8333333333333334,1.0,0.9090909090909091,5.0
CHILDREN,1.0,1.0,1.0,5.0
CHOCOLATE,1.0,0.8,0.8888888888888888,5.0
CHURCH,1.0,1.0,1.0,5.0
CITY,0.8181818181818182,0.9,0.8571428571428571,10.0
CLASS,1.0,1.0,1.0,5.0
CLEAN,1.0,0.8,0.8888888888888888,5.0
COFFEE,0.75,0.6,0.6666666666666666,5.0
COLD,1.0,1.0,1.0,5.0
COLLEGE,0.8,0.8,0.8,5.0
COMFORTABLE,0.7142857142857143,1.0,0.8333333333333334,5.0
COMMUNICATION,1.0,1.0,1.0,5.0
COMPUTER,0.8333333333333334,1.0,0.9090909090909091,5.0
CONFUSED,1.0,1.0,1.0,10.0
COOK,0.7142857142857143,1.0,0.8333333333333334,5.0
COOL,0.8095238095238095,0.8947368421052632,0.85,19.0
COUNTRY,1.0,1.0,1.0,5.0
COUSIN,1.0,0.8,0.8888888888888888,5.0
CRAZY,1.0,0.6,0.75,5.0
DAY,1.0,1.0,1.0,5.0
DECIDE,1.0,1.0,1.0,10.0
DIE,1.0,0.8,0.8888888888888888,5.0
