class_id,class_name,first_letter,length,word_count
0,1 DOLLAR,1,8,2
1,5 DOLLARS,5,9,2
2,9 OCLOCK,9,8,2
3,A LINE BOB,A,10,3
4,A LITTLE BIT,A,12,3
5,ABBREVIATE,A,10,1
6,ABOVE,A,5,1
7,ABSOLUTELY NOTHING,A,18,2
8,ACCENT,A,6,1
9,ACCEPT,A,6,1
10,ACCESS,A,6,1
11,ACCIDENT,A,8,1
12,ACCOMPLISH,A,10,1
13,ACCORDION,A,9,1
14,ACCOUNTANT,A,10,1
15,ACQUIRE,A,7,1
16,ACT,A,3,1
17,ACTION,A,6,1
18,ACTOR,A,5,1
19,ADD,A,3,1
20,ADDICT,A,6,1
21,ADDRESS,A,7,1
22,ADMIRE,A,6,1
23,ADMIT,A,5,1
24,ADOPT,A,5,1
25,ADULT,A,5,1
26,ADVANTAGE,A,9,1
27,ADVERTISE,A,9,1
28,AFRICA,A,6,1
29,AFTER,A,5,1
30,AGAIN,A,5,1
31,AGAINST,A,7,1
32,AGE,A,3,1
33,AGENCY,A,6,1
34,AGREEMENT,A,9,1
35,AIRPLANE,A,8,1
36,ALARM,A,5,1
37,ALASKA,A,6,1
38,ALCOHOL,A,7,1
39,ALIGN,A,5,1
40,ALL,A,3,1
41,ALL DAY,A,7,2
42,ALL GONE,A,8,2
43,ALL OF SUDDEN,A,13,3
44,ALL OVER BODY,A,13,3
45,ALL TOGETHER,A,12,2
46,ALL WAY,A,7,2
47,ALONE,A,5,1
48,ALPHABET,A,8,1
49,ALWAYS,A,6,1
50,AMAZING,A,7,1
51,AMERICA,A,7,1
52,ANALYZE,A,7,1
53,AND,A,3,1
54,ANGEL,A,5,1
55,ANGRY,A,5,1
56,ANIMAL,A,6,1
57,ANNOUNCE,A,8,1
58,ANSWER,A,6,1
59,ANTLERS,A,7,1
60,ANY,A,3,1
61,APART,A,5,1
62,APPEAR,A,6,1
63,APPOINTMENT,A,11,1
64,APRIL,A,5,1
65,ARCHEOLOGY,A,10,1
66,AREA,A,4,1
67,ARGUE,A,5,1
68,ARIZONA,A,7,1
69,ARM,A,3,1
70,ARMY,A,4,1
71,ARREST1,A,7,1
72,ARREST2,A,7,1
73,ARREST3,A,7,1
74,ARRIVE,A,6,1
75,ART,A,3,1
76,ARTICLE,A,7,1
77,ARTICULATE SIGN,A,15,2
78,ASIA,A,4,1
79,ASSIGN,A,6,1
80,ASTRONAUT,A,9,1
81,AT,A,2,1
82,ATHLETE,A,7,1
83,ATTENTION,A,9,1
84,ATTITUDE,A,8,1
85,AUDIENCE,A,8,1
86,AUDITORIUM,A,10,1
87,AUNT,A,4,1
88,AUSTRALIA,A,9,1
89,AUTISM1,A,7,1
90,AUTISM2,A,7,1
91,AUTOMATIC,A,9,1
92,AWKWARD,A,7,1
93,BABY,B,4,1
94,BAD,B,3,1
95,BALL,B,4,1
96,BECAUSE,B,7,1
97,BEDROOM,B,7,1
98,BEFORE,B,6,1
99,BEHIND,B,6,1
100,BICYCLE,B,7,1
101,BIG,B,3,1
102,BIRTH,B,5,1
103,BLUE,B,4,1
104,BODY,B,4,1
105,BOOK,B,4,1
106,BORED,B,5,1
107,BORROW,B,6,1
108,BOSS,B,4,1
109,BOY,B,3,1
110,BREAD,B,5,1
111,BREAK,B,5,1
112,BREAKDOWN,B,9,1
113,BROTHER,B,7,1
114,BUS,B,3,1
115,BUT,B,3,1
116,BUTTER,B,6,1
117,BUY,B,3,1
118,CALL,C,4,1
119,CAMERA,C,6,1
120,CAN,C,3,1
121,CANADA,C,6,1
122,CANDY,C,5,1
123,CANNOT,C,6,1
124,CAR,C,3,1
125,CARRY,C,5,1
126,CENTER,C,6,1
127,CHAIR,C,5,1
128,CHALLENGE,C,9,1
129,CHAT,C,4,1
130,CHEAP,C,5,1
131,CHECK,C,5,1
132,CHILD,C,5,1
133,CHILDREN,C,8,1
134,CHOCOLATE,C,9,1
135,CHURCH,C,6,1
136,CITY,C,4,1
137,CLASS,C,5,1
138,CLEAN,C,5,1
139,COFFEE,C,6,1
140,COLD,C,4,1
141,COLLEGE,C,7,1
142,COMFORTABLE,C,11,1
143,COMMUNICATION,C,13,1
144,COMPUTER,C,8,1
145,CONFUSED,C,8,1
146,COOK,C,4,1
147,COOL,C,4,1
148,COUNTRY,C,7,1
149,COUSIN,C,6,1
150,CRAZY,C,5,1
151,DAY,D,3,1
