gloss,count,files_names
HE,30,HE 1.npy;HE 10.npy;HE 11.npy;HE 12.npy;HE 13.npy;HE 14.npy;HE 15.npy;HE 16.npy;HE 17.npy;HE 18.npy;HE 19.npy;HE 2.npy;HE 20.npy;HE 21.npy;HE 22.npy;HE 23.npy;HE 24.npy;HE 25.npy;HE 26.npy;HE 27.npy;HE 28.npy;HE 29.npy;HE 3.npy;HE 30.npy;HE 4.npy;HE 5.npy;HE 6.npy;HE 7.npy;HE 8.npy;HE 9.npy
WE,31,WE 1.npy;WE 10.npy;WE 11.npy;WE 12.npy;WE 13.npy;WE 14.npy;WE 15.npy;WE 16.npy;WE 17.npy;WE 18.npy;WE 19.npy;WE 2.npy;WE 20.npy;WE 21.npy;WE 22.npy;WE 23.npy;WE 24.npy;WE 25.npy;WE 26.npy;WE 27.npy;WE 28.npy;WE 29.npy;WE 3.npy;WE 30.npy;WE 31.npy;WE 4.npy;WE 5.npy;WE 6.npy;WE 7.npy;WE 8.npy;WE 9.npy
THEY,58,THEY 1.npy;THEY 10.npy;THEY 11.npy;THEY 12.npy;THEY 13.npy;THEY 14.npy;THEY 15.npy;THEY 16.npy;THEY 17.npy;THEY 18.npy;THEY 19.npy;THEY 2.npy;THEY 20.npy;THEY 21.npy;THEY 22.npy;THEY 23.npy;THEY 24.npy;THEY 25.npy;THEY 26.npy;THEY 27.npy;THEY 28.npy;THEY 29.npy;THEY 3.npy;THEY 30.npy;THEY 31.npy;THEY 32.npy;THEY 33.npy;THEY 34.npy;THEY 35.npy;THEY 36.npy;THEY 37.npy;THEY 38.npy;THEY 39.npy;THEY 4.npy;THEY 40.npy;THEY 41.npy;THEY 42.npy;THEY 43.npy;THEY 44.npy;THEY 45.npy;THEY 46.npy;THEY 47.npy;THEY 48.npy;THEY 49.npy;THEY 5.npy;THEY 50.npy;THEY 51.npy;THEY 52.npy;THEY 53.npy;THEY 54.npy;THEY 55.npy;THEY 56.npy;THEY 57.npy;THEY 58.npy;THEY 6.npy;THEY 7.npy;THEY 8.npy;THEY 9.npy
WHAT,63,WHAT 1.npy;WHAT 10.npy;WHAT 11.npy;WHAT 12.npy;WHAT 13.npy;WHAT 14.npy;WHAT 15.npy;WHAT 16.npy;WHAT 17.npy;WHAT 18.npy;WHAT 19.npy;WHAT 2.npy;WHAT 20.npy;WHAT 21.npy;WHAT 22.npy;WHAT 23.npy;WHAT 24.npy;WHAT 25.npy;WHAT 26.npy;WHAT 27.npy;WHAT 28.npy;WHAT 29.npy;WHAT 3.npy;WHAT 30.npy;WHAT 31.npy;WHAT 32.npy;WHAT 33.npy;WHAT 34.npy;WHAT 35.npy;WHAT 36.npy;WHAT 37.npy;WHAT 38.npy;WHAT 39.npy;WHAT 4.npy;WHAT 40.npy;WHAT 41.npy;WHAT 42.npy;WHAT 43.npy;WHAT 44.npy;WHAT 45.npy;WHAT 46.npy;WHAT 47.npy;WHAT 48.npy;WHAT 49.npy;WHAT 5.npy;WHAT 50.npy;WHAT 51.npy;WHAT 52.npy;WHAT 53.npy;WHAT 54.npy;WHAT 55.npy;WHAT 56.npy;WHAT 57.npy;WHAT 58.npy;WHAT 59.npy;WHAT 6.npy;WHAT 60.npy;WHAT 61.npy;WHAT 62.npy;WHAT 63.npy;WHAT 7.npy;WHAT 8.npy;WHAT 9.npy
WHEN,31,WHEN 1.npy;WHEN 10.npy;WHEN 11.npy;WHEN 12.npy;WHEN 13.npy;WHEN 14.npy;WHEN 15.npy;WHEN 16.npy;WHEN 17.npy;WHEN 18.npy;WHEN 19.npy;WHEN 2.npy;WHEN 20.npy;WHEN 21.npy;WHEN 22.npy;WHEN 23.npy;WHEN 24.npy;WHEN 25.npy;WHEN 26.npy;WHEN 27.npy;WHEN 28.npy;WHEN 29.npy;WHEN 3.npy;WHEN 30.npy;WHEN 31.npy;WHEN 4.npy;WHEN 5.npy;WHEN 6.npy;WHEN 7.npy;WHEN 8.npy;WHEN 9.npy
WHERE,31,WHERE 1.npy;WHERE 10.npy;WHERE 11.npy;WHERE 12.npy;WHERE 13.npy;WHERE 14.npy;WHERE 15.npy;WHERE 16.npy;WHERE 17.npy;WHERE 18.npy;WHERE 19.npy;WHERE 2.npy;WHERE 20.npy;WHERE 21.npy;WHERE 22.npy;WHERE 23.npy;WHERE 24.npy;WHERE 25.npy;WHERE 26.npy;WHERE 27.npy;WHERE 28.npy;WHERE 29.npy;WHERE 3.npy;WHERE 30.npy;WHERE 31.npy;WHERE 4.npy;WHERE 5.npy;WHERE 6.npy;WHERE 7.npy;WHERE 8.npy;WHERE 9.npy
HOW,62,HOW 1.npy;HOW 10.npy;HOW 11.npy;HOW 12.npy;HOW 13.npy;HOW 14.npy;HOW 15.npy;HOW 16.npy;HOW 17.npy;HOW 18.npy;HOW 19.npy;HOW 2.npy;HOW 20.npy;HOW 21.npy;HOW 22.npy;HOW 23.npy;HOW 24.npy;HOW 25.npy;HOW 26.npy;HOW 27.npy;HOW 28.npy;HOW 29.npy;HOW 3.npy;HOW 30.npy;HOW 31.npy;HOW 32.npy;HOW 33.npy;HOW 34.npy;HOW 35.npy;HOW 36.npy;HOW 37.npy;HOW 38.npy;HOW 39.npy;HOW 4.npy;HOW 40.npy;HOW 41.npy;HOW 42.npy;HOW 43.npy;HOW 44.npy;HOW 45.npy;HOW 46.npy;HOW 47.npy;HOW 48.npy;HOW 49.npy;HOW 5.npy;HOW 50.npy;HOW 51.npy;HOW 52.npy;HOW 53.npy;HOW 54.npy;HOW 55.npy;HOW 56.npy;HOW 57.npy;HOW 58.npy;HOW 59.npy;HOW 6.npy;HOW 60.npy;HOW 61.npy;HOW 62.npy;HOW 7.npy;HOW 8.npy;HOW 9.npy
THAT,32,THAT 1.npy;THAT 10.npy;THAT 11.npy;THAT 12.npy;THAT 13.npy;THAT 14.npy;THAT 15.npy;THAT 16.npy;THAT 17.npy;THAT 18.npy;THAT 19.npy;THAT 2.npy;THAT 20.npy;THAT 21.npy;THAT 22.npy;THAT 23.npy;THAT 24.npy;THAT 25.npy;THAT 26.npy;THAT 27.npy;THAT 28.npy;THAT 29.npy;THAT 3.npy;THAT 30.npy;THAT 31.npy;THAT 32.npy;THAT 4.npy;THAT 5.npy;THAT 6.npy;THAT 7.npy;THAT 8.npy;THAT 9.npy
YES,30,YES 1.npy;YES 10.npy;YES 11.npy;YES 12.npy;YES 13.npy;YES 14.npy;YES 15.npy;YES 16.npy;YES 17.npy;YES 18.npy;YES 19.npy;YES 2.npy;YES 20.npy;YES 21.npy;YES 22.npy;YES 23.npy;YES 24.npy;YES 25.npy;YES 26.npy;YES 27.npy;YES 28.npy;YES 29.npy;YES 3.npy;YES 30.npy;YES 4.npy;YES 5.npy;YES 6.npy;YES 7.npy;YES 8.npy;YES 9.npy
NOT,30,NOT 1.npy;NOT 10.npy;NOT 11.npy;NOT 12.npy;NOT 13.npy;NOT 14.npy;NOT 15.npy;NOT 16.npy;NOT 17.npy;NOT 18.npy;NOT 19.npy;NOT 2.npy;NOT 20.npy;NOT 21.npy;NOT 22.npy;NOT 23.npy;NOT 24.npy;NOT 25.npy;NOT 26.npy;NOT 27.npy;NOT 28.npy;NOT 29.npy;NOT 3.npy;NOT 30.npy;NOT 4.npy;NOT 5.npy;NOT 6.npy;NOT 7.npy;NOT 8.npy;NOT 9.npy
CAN,61,CAN 1.npy;CAN 10.npy;CAN 11.npy;CAN 12.npy;CAN 13.npy;CAN 14.npy;CAN 15.npy;CAN 16.npy;CAN 17.npy;CAN 18.npy;CAN 19.npy;CAN 2.npy;CAN 20.npy;CAN 21.npy;CAN 22.npy;CAN 23.npy;CAN 24.npy;CAN 25.npy;CAN 26.npy;CAN 27.npy;CAN 28.npy;CAN 29.npy;CAN 3.npy;CAN 30.npy;CAN 31.npy;CAN 32.npy;CAN 33.npy;CAN 34.npy;CAN 35.npy;CAN 36.npy;CAN 37.npy;CAN 38.npy;CAN 39.npy;CAN 4.npy;CAN 40.npy;CAN 41.npy;CAN 42.npy;CAN 43.npy;CAN 44.npy;CAN 45.npy;CAN 46.npy;CAN 47.npy;CAN 48.npy;CAN 49.npy;CAN 5.npy;CAN 50.npy;CAN 51.npy;CAN 52.npy;CAN 53.npy;CAN 54.npy;CAN 55.npy;CAN 56.npy;CAN 57.npy;CAN 58.npy;CAN 59.npy;CAN 6.npy;CAN 60.npy;CAN 61.npy;CAN 7.npy;CAN 8.npy;CAN 9.npy
WILL,30,WILL 1.npy;WILL 10.npy;WILL 11.npy;WILL 12.npy;WILL 13.npy;WILL 14.npy;WILL 15.npy;WILL 16.npy;WILL 17.npy;WILL 18.npy;WILL 19.npy;WILL 2.npy;WILL 20.npy;WILL 21.npy;WILL 22.npy;WILL 23.npy;WILL 24.npy;WILL 25.npy;WILL 26.npy;WILL 27.npy;WILL 28.npy;WILL 29.npy;WILL 3.npy;WILL 30.npy;WILL 4.npy;WILL 5.npy;WILL 6.npy;WILL 7.npy;WILL 8.npy;WILL 9.npy
MUST,31,MUST 1.npy;MUST 10.npy;MUST 11.npy;MUST 12.npy;MUST 13.npy;MUST 14.npy;MUST 15.npy;MUST 16.npy;MUST 17.npy;MUST 18.npy;MUST 19.npy;MUST 2.npy;MUST 20.npy;MUST 21.npy;MUST 22.npy;MUST 23.npy;MUST 24.npy;MUST 25.npy;MUST 26.npy;MUST 27.npy;MUST 28.npy;MUST 29.npy;MUST 3.npy;MUST 30.npy;MUST 31.npy;MUST 4.npy;MUST 5.npy;MUST 6.npy;MUST 7.npy;MUST 8.npy;MUST 9.npy
SHOULD,30,SHOULD 1.npy;SHOULD 10.npy;SHOULD 11.npy;SHOULD 12.npy;SHOULD 13.npy;SHOULD 14.npy;SHOULD 15.npy;SHOULD 16.npy;SHOULD 17.npy;SHOULD 18.npy;SHOULD 19.npy;SHOULD 2.npy;SHOULD 20.npy;SHOULD 21.npy;SHOULD 22.npy;SHOULD 23.npy;SHOULD 24.npy;SHOULD 25.npy;SHOULD 26.npy;SHOULD 27.npy;SHOULD 28.npy;SHOULD 29.npy;SHOULD 3.npy;SHOULD 30.npy;SHOULD 4.npy;SHOULD 5.npy;SHOULD 6.npy;SHOULD 7.npy;SHOULD 8.npy;SHOULD 9.npy
MAYBE,32,MAYBE 1.npy;MAYBE 10.npy;MAYBE 11.npy;MAYBE 12.npy;MAYBE 13.npy;MAYBE 14.npy;MAYBE 15.npy;MAYBE 16.npy;MAYBE 17.npy;MAYBE 18.npy;MAYBE 19.npy;MAYBE 2.npy;MAYBE 20.npy;MAYBE 21.npy;MAYBE 22.npy;MAYBE 23.npy;MAYBE 24.npy;MAYBE 25.npy;MAYBE 26.npy;MAYBE 27.npy;MAYBE 28.npy;MAYBE 29.npy;MAYBE 3.npy;MAYBE 30.npy;MAYBE 31.npy;MAYBE 32.npy;MAYBE 4.npy;MAYBE 5.npy;MAYBE 6.npy;MAYBE 7.npy;MAYBE 8.npy;MAYBE 9.npy
THANK YOU,31,THANK YOU 1.npy;THANK YOU 10.npy;THANK YOU 11.npy;THANK YOU 12.npy;THANK YOU 13.npy;THANK YOU 14.npy;THANK YOU 15.npy;THANK YOU 16.npy;THANK YOU 17.npy;THANK YOU 18.npy;THANK YOU 19.npy;THANK YOU 2.npy;THANK YOU 20.npy;THANK YOU 21.npy;THANK YOU 22.npy;THANK YOU 23.npy;THANK YOU 24.npy;THANK YOU 25.npy;THANK YOU 26.npy;THANK YOU 27.npy;THANK YOU 28.npy;THANK YOU 29.npy;THANK YOU 3.npy;THANK YOU 30.npy;THANK YOU 31.npy;THANK YOU 4.npy;THANK YOU 5.npy;THANK YOU 6.npy;THANK YOU 7.npy;THANK YOU 8.npy;THANK YOU 9.npy
HELLO,32,HELLO 1.npy;HELLO 10.npy;HELLO 11.npy;HELLO 12.npy;HELLO 13.npy;HELLO 14.npy;HELLO 15.npy;HELLO 16.npy;HELLO 17.npy;HELLO 18.npy;HELLO 19.npy;HELLO 2.npy;HELLO 20.npy;HELLO 21.npy;HELLO 22.npy;HELLO 23.npy;HELLO 24.npy;HELLO 25.npy;HELLO 26.npy;HELLO 27.npy;HELLO 28.npy;HELLO 29.npy;HELLO 3.npy;HELLO 30.npy;HELLO 31.npy;HELLO 32.npy;HELLO 4.npy;HELLO 5.npy;HELLO 6.npy;HELLO 7.npy;HELLO 8.npy;HELLO 9.npy
SLOW,32,SLOW 1.npy;SLOW 10.npy;SLOW 11.npy;SLOW 12.npy;SLOW 13.npy;SLOW 14.npy;SLOW 15.npy;SLOW 16.npy;SLOW 17.npy;SLOW 18.npy;SLOW 19.npy;SLOW 2.npy;SLOW 20.npy;SLOW 21.npy;SLOW 22.npy;SLOW 23.npy;SLOW 24.npy;SLOW 25.npy;SLOW 26.npy;SLOW 27.npy;SLOW 28.npy;SLOW 29.npy;SLOW 3.npy;SLOW 30.npy;SLOW 31.npy;SLOW 32.npy;SLOW 4.npy;SLOW 5.npy;SLOW 6.npy;SLOW 7.npy;SLOW 8.npy;SLOW 9.npy
DONT KNOW,31,DONT KNOW 1.npy;DONT KNOW 10.npy;DONT KNOW 11.npy;DONT KNOW 12.npy;DONT KNOW 13.npy;DONT KNOW 14.npy;DONT KNOW 15.npy;DONT KNOW 16.npy;DONT KNOW 17.npy;DONT KNOW 18.npy;DONT KNOW 19.npy;DONT KNOW 2.npy;DONT KNOW 20.npy;DONT KNOW 21.npy;DONT KNOW 22.npy;DONT KNOW 23.npy;DONT KNOW 24.npy;DONT KNOW 25.npy;DONT KNOW 26.npy;DONT KNOW 27.npy;DONT KNOW 28.npy;DONT KNOW 29.npy;DONT KNOW 3.npy;DONT KNOW 30.npy;DONT KNOW 31.npy;DONT KNOW 4.npy;DONT KNOW 5.npy;DONT KNOW 6.npy;DONT KNOW 7.npy;DONT KNOW 8.npy;DONT KNOW 9.npy
LIKE,30,LIKE 1.npy;LIKE 10.npy;LIKE 11.npy;LIKE 12.npy;LIKE 13.npy;LIKE 14.npy;LIKE 15.npy;LIKE 16.npy;LIKE 17.npy;LIKE 18.npy;LIKE 19.npy;LIKE 2.npy;LIKE 20.npy;LIKE 21.npy;LIKE 22.npy;LIKE 23.npy;LIKE 24.npy;LIKE 25.npy;LIKE 26.npy;LIKE 27.npy;LIKE 28.npy;LIKE 29.npy;LIKE 3.npy;LIKE 30.npy;LIKE 4.npy;LIKE 5.npy;LIKE 6.npy;LIKE 7.npy;LIKE 8.npy;LIKE 9.npy
DONT LIKE,31,DONT LIKE 1.npy;DONT LIKE 10.npy;DONT LIKE 11.npy;DONT LIKE 12.npy;DONT LIKE 13.npy;DONT LIKE 14.npy;DONT LIKE 15.npy;DONT LIKE 16.npy;DONT LIKE 17.npy;DONT LIKE 18.npy;DONT LIKE 19.npy;DONT LIKE 2.npy;DONT LIKE 20.npy;DONT LIKE 21.npy;DONT LIKE 22.npy;DONT LIKE 23.npy;DONT LIKE 24.npy;DONT LIKE 25.npy;DONT LIKE 26.npy;DONT LIKE 27.npy;DONT LIKE 28.npy;DONT LIKE 29.npy;DONT LIKE 3.npy;DONT LIKE 30.npy;DONT LIKE 31.npy;DONT LIKE 4.npy;DONT LIKE 5.npy;DONT LIKE 6.npy;DONT LIKE 7.npy;DONT LIKE 8.npy;DONT LIKE 9.npy
DONT WANT,31,DONT WANT 1.npy;DONT WANT 10.npy;DONT WANT 11.npy;DONT WANT 12.npy;DONT WANT 13.npy;DONT WANT 14.npy;DONT WANT 15.npy;DONT WANT 16.npy;DONT WANT 17.npy;DONT WANT 18.npy;DONT WANT 19.npy;DONT WANT 2.npy;DONT WANT 20.npy;DONT WANT 21.npy;DONT WANT 22.npy;DONT WANT 23.npy;DONT WANT 24.npy;DONT WANT 25.npy;DONT WANT 26.npy;DONT WANT 27.npy;DONT WANT 28.npy;DONT WANT 29.npy;DONT WANT 3.npy;DONT WANT 30.npy;DONT WANT 31.npy;DONT WANT 4.npy;DONT WANT 5.npy;DONT WANT 6.npy;DONT WANT 7.npy;DONT WANT 8.npy;DONT WANT 9.npy
