,precision,recall,f1-score,support
1 DOLLAR,0.8,1.0,0.8888888888888888,4.0
5 DOLLARS,1.0,1.0,1.0,5.0
9 OCLOCK,1.0,1.0,1.0,4.0
A LINE BOB,1.0,1.0,1.0,4.0
A LITTLE BIT,1.0,1.0,1.0,5.0
ABBREVIATE,1.0,1.0,1.0,4.0
ABOVE,1.0,1.0,1.0,5.0
ABSOLUTELY NOTHING,1.0,0.8,0.8888888888888888,5.0
ACCENT,0.8333333333333334,1.0,0.9090909090909091,5.0
ACCEPT,1.0,1.0,1.0,5.0
ACCESS,0.8333333333333334,1.0,0.9090909090909091,5.0
ACCIDENT,1.0,1.0,1.0,5.0
ACCOMPLISH,1.0,1.0,1.0,5.0
ACCORDION,1.0,1.0,1.0,5.0
ACCOUNTANT,1.0,1.0,1.0,5.0
ACQUIRE,1.0,1.0,1.0,4.0
ACT,1.0,1.0,1.0,5.0
ACTION,1.0,1.0,1.0,5.0
ACTOR,1.0,1.0,1.0,4.0
ADD,1.0,0.8,0.8888888888888888,5.0
ADDICT,1.0,1.0,1.0,5.0
ADDRESS,0.5,0.8,0.6153846153846154,5.0
ADMIRE,1.0,1.0,1.0,5.0
ADMIT,0.8,1.0,0.8888888888888888,4.0
ADOPT,1.0,1.0,1.0,5.0
ADULT,0.8333333333333334,1.0,0.9090909090909091,5.0
ADVANTAGE,1.0,1.0,1.0,5.0
ADVERTISE,1.0,1.0,1.0,4.0
AFRICA,1.0,1.0,1.0,5.0
AFTER,1.0,1.0,1.0,5.0
AGAIN,0.8,0.8,0.8,5.0
AGAINST,0.625,1.0,0.7692307692307693,5.0
AGE,1.0,1.0,1.0,4.0
AGENCY,1.0,1.0,1.0,5.0
AGREEMENT,1.0,1.0,1.0,5.0
AIRPLANE,0.8333333333333334,1.0,0.9090909090909091,5.0
ALARM,0.8,1.0,0.8888888888888888,4.0
ALASKA,1.0,1.0,1.0,5.0
ALCOHOL,1.0,0.75,0.8571428571428571,4.0
ALIGN,1.0,1.0,1.0,5.0
ALL,1.0,0.8,0.8888888888888888,5.0
ALL DAY,1.0,1.0,1.0,4.0
ALL GONE,1.0,1.0,1.0,5.0
ALL OF SUDDEN,0.8333333333333334,1.0,0.9090909090909091,5.0
ALL OVER BODY,1.0,1.0,1.0,5.0
ALL TOGETHER,1.0,1.0,1.0,4.0
ALL WAY,0.8,1.0,0.8888888888888888,4.0
ALONE,1.0,1.0,1.0,4.0
ALPHABET,0.8333333333333334,1.0,0.9090909090909091,5.0
ALWAYS,1.0,1.0,1.0,5.0
AMAZING,0.8,1.0,0.8888888888888888,4.0
AMERICA,1.0,1.0,1.0,5.0
ANALYZE,1.0,1.0,1.0,5.0
AND,1.0,0.8,0.8888888888888888,5.0
ANGEL,1.0,1.0,1.0,5.0
ANGRY,1.0,0.8,0.8888888888888888,5.0
ANIMAL,1.0,1.0,1.0,5.0
ANNOUNCE,1.0,1.0,1.0,5.0
ANSWER,0.5714285714285714,0.8,0.6666666666666666,5.0
ANTLERS,1.0,1.0,1.0,5.0
ANY,1.0,1.0,1.0,5.0
APART,1.0,1.0,1.0,5.0
APPEAR,1.0,1.0,1.0,5.0
APPOINTMENT,1.0,1.0,1.0,4.0
APRIL,1.0,1.0,1.0,5.0
ARCHEOLOGY,1.0,0.8,0.8888888888888888,5.0
AREA,0.6666666666666666,0.8,0.7272727272727273,5.0
ARGUE,0.7142857142857143,1.0,0.8333333333333334,5.0
ARIZONA,1.0,0.6,0.75,5.0
ARM,0.8,0.8,0.8,10.0
ARMY,1.0,0.8,0.8888888888888888,5.0
ARREST1,1.0,0.8,0.8888888888888888,5.0
ARREST2,1.0,1.0,1.0,5.0
ARREST3,1.0,1.0,1.0,5.0
ARRIVE,0.6666666666666666,0.5,0.5714285714285714,4.0
ART,1.0,1.0,1.0,5.0
ARTICLE,1.0,1.0,1.0,5.0
ARTICULATE SIGN,1.0,1.0,1.0,5.0
ASIA,1.0,0.8,0.8888888888888888,5.0
ASSIGN,0.8,0.8,0.8,5.0
ASTRONAUT,1.0,1.0,1.0,5.0
AT,1.0,1.0,1.0,5.0
ATHLETE,0.8333333333333334,1.0,0.9090909090909091,5.0
ATTENTION,1.0,1.0,1.0,5.0
ATTITUDE,0.8333333333333334,1.0,0.9090909090909091,5.0
AUDIENCE,0.8333333333333334,1.0,0.9090909090909091,5.0
AUDITORIUM,1.0,0.8,0.8888888888888888,5.0
AUNT,0.8,0.8,0.8,5.0
AUSTRALIA,1.0,1.0,1.0,5.0
AUTISM1,1.0,1.0,1.0,5.0
AUTISM2,1.0,1.0,1.0,5.0
AUTOMATIC,1.0,1.0,1.0,5.0
AWKWARD,1.0,1.0,1.0,5.0
BABY,1.0,1.0,1.0,10.0
BAD,1.0,1.0,1.0,5.0
BALL,1.0,1.0,1.0,5.0
BECAUSE,1.0,0.6,0.75,5.0
BEDROOM,1.0,0.8,0.8888888888888888,5.0
BEFORE,1.0,1.0,1.0,4.0
BEHIND,1.0,0.6,0.75,5.0
BICYCLE,1.0,1.0,1.0,5.0
