Rank,Gloss
1,ME
2,YOU
3,HE
4,SHE
5,IT
6,WE
7,THEY
8,MY
9,YOUR
10,THEIRS
11,WHO
12,WHAT
13,WHEN
14,WHERE
15,WHY
16,HOW
17,WHICH
18,THAT
19,THIS
20,SAME
21,YES
22,NO
23,NOT
24,CAN
25,CANT
26,WILL
27,WONT
28,MUST
29,SHOULD
30,MAYBE
31,PLEASE
32,THANK-YOU
33,HELLO
34,GOODBYE
35,SORRY
36,AGAIN
37,SLOW
38,UNDERSTAND
39,KNOW
40,DONT-KNOW
41,LIKE
42,DONT-LIKE
43,WANT
44,DONT-WANT
45,GOOD
46,BAD
47,GO
48,COME
49,HELP
50,NOW
51,LATER
52,TODAY
53,TOMORROW
54,YESTERDAY
55,MORNING
56,AFTERNOON
57,NIGHT
58,DAY
59,WEEK
60,MONTH
61,YEAR
62,BEFORE
63,AFTER
64,FINISH
65,START
66,WORK
67,SCHOOL
68,LEARN
69,STUDY
70,TEACH
71,STUDENT
72,TEACHER
73,EAT
74,DRINK
75,FOOD
76,WATER
77,SLEEP
78,WAKE-UP
79,SIT
80,STAND
81,WALK
82,RUN
83,PLAY
84,STOP
85,WAIT
86,HAVE
87,NONE
88,GET
89,TAKE
90,GIVE
91,TELL
92,SAY
93,ASK
94,ANSWER
95,LOOK
96,SEE
97,LISTEN
98,HEAR
99,FEEL
100,HAPPY
101,SAD
102,ANGRY
103,EXCITED
104,TIRED
105,SICK
106,BRAVE
107,SCARED
108,BORED
109,SURPRISED
110,HUNGRY
111,THIRSTY
112,HOT
113,COLD
114,FUNNY
115,SERIOUS
116,SMART
117,STUPID
118,CRAZY
119,QUIET
120,LOUD
121,BIG
122,SMALL
123,TALL
124,SHORT
125,LONG
126,HEAVY
127,LIGHT
128,HARD
129,EASY
130,CLEAN
131,DIRTY
132,NEW
133,OLD
134,BEAUTIFUL
135,UGLY
136,FAST
137,SLOW
138,STRONG
139,WEAK
140,EXPENSIVE
141,CHEAP
142,RICH
143,POOR
144,FULL
145,EMPTY
146,IMPORTANT
147,FAVORITE
148,BETTER
149,BEST
150,FAMILY
151,MOTHER
152,FATHER
153,BROTHER
154,SISTER
155,GRANDMOTHER
156,GRANDFATHER
157,AUNT
158,UNCLE
159,COUSIN
160,SON
161,DAUGHTER
162,BABY
163,CHILD
164,MAN
165,WOMAN
166,BOY
167,GIRL
168,FRIEND
169,PEOPLE
170,NAME
171,NICE
172,MEET
173,LIVE
174,ADDRESS
175,PHONE
176,HOUSE
177,HOME
178,OFFICE
179,MARRY
180,DIVORCE
181,SINGLE
182,ENGAGED
183,GROW-UP
184,DIE
185,BORN
186,YOUNG
187,KID
188,PERSON
189,HUMAN
190,GROUP
191,TEAM
192,NEIGHBOR
193,BOSS
194,DOCTOR
195,NURSE
196,POLICE
197,PRESIDENT
198,STORE
199,SHOP
200,RESTAURANT
201,HOSPITAL
202,CHURCH
203,COLLEGE
204,LIBRARY
205,PARK
206,CITY
207,COUNTRY
208,TOWN
209,STATE
210,WORLD
211,AMERICA
212,CANADA
213,BATHROOM
214,KITCHEN
215,BEDROOM
216,FLOOR
217,DOOR
218,WINDOW
219,CAR
220,BUS
221,TRAIN
222,AIRPLANE
223,BICYCLE
224,DRIVE
225,TRAVEL
226,VISIT
227,STAY
228,LEAVE
229,ARRIVE
230,PAPER
231,BOOK
232,PEN
233,PENCIL
234,COMPUTER
235,INTERNET
236,EMAIL
237,TYPING
238,WRITE
239,READ
240,TEST
241,CLASS
242,MEETING
243,DESK
244,CHAIR
245,TABLE
246,BREAD
247,MILK
248,COFFEE
249,TEA
250,APPLE
