gloss,count
1 DOLLAR,26
5 DOLLARS,30
8 HOUR,29
9 OCLOCK,26
A LINE BOB,26
A LITTLE BIT,30
ABBREVIATE,25
ABOUT,40
ABOVE,28
ABSOLUTELY NOTHING,29
ACCENT,27
ACCEPT,27
ACCESS,29
ACCIDENT,28
ACCOMPLISH,28
ACCORDION,30
ACCOUNTANT,27
ACQUIRE,25
ACT,27
ACTION,29
ACTOR,26
ADD,28
ADDICT,27
ADDRESS,29
ADMIRE,29
ADMIT,25
ADOPT,28
ADULT,29
ADVANTAGE,28
ADVERTISE,26
AFRICA,28
AFTER,27
AFTERNOON,25
AGAIN,28
AGAINST,29
AGE,26
AGENCY,28
AGREEMENT,27
AIRPLANE,29
ALARM,26
ALASKA,28
ALCOHOL,26
ALIGN,29
ALL,29
ALL DAY,25
ALL GONE,28
ALL OF SUDDEN,28
ALL OVER,25
ALL OVER BODY,28
ALL TOGETHER,26
ALL WAY,25
ALONE,26
ALPHABET,30
ALRIGHT,26
ALWAYS,31
AMAZING,25
AMERICA,31
ANALYZE,32
AND,31
ANGEL,30
ANGRY,31
ANIMAL,30
ANNOUNCE,30
ANSWER,31
ANTLERS,29
ANY,29
ANYONE,26
APART,30
APPEAR,27
APPLE,30
APPOINTMENT,26
APRIL,29
ARCHEOLOGY,28
AREA,27
ARGUE,31
ARIZONA,29
ARM,61
ARMY,27
ARREST1,31
ARREST2,30
ARREST3,27
ARRIVE,26
ART,29
ARTICLE,31
ARTICULATE SIGN,29
ASIA,31
ASK,31
ASSEMBLY,27
ASSIGN,29
ASSIST,30
ASSISTANT,29
ASTRONAUT,31
AT,30
ATHLETE,28
ATLANTA,28
ATTENTION,31
ATTITUDE,27
AUDIENCE,28
AUDITORIUM,29
AUNT,31
AUSTRALIA,31
AUTISM1,29
AUTISM2,28
AUTOMATIC,29
CAR,27
COMMUNICATION,29
FINISH,29
FRIEND,29
FRIENDLY,32
HAIR,31
HAPPY,26
HELP,31
HOME,30
HUNGRY,25
I LOVE YOU,27
INTERNET,26
LOAD,30
LOAD1,27
ME,23
MEET,23
MODEL,34
MONEY1,30
MONEY2,28
MOTHER,27
MY,27
NAME,28
OTHER,30
PHONE,27
RELAX,29
STILL,31
STINK,28
STOP,25
STRANGE,28
SURE,30
TELL,27
TOILET,32
WANT,61
WEAR,25
WHY,25
WISE,30
WOLF,27
WOMAN,43
WORK,26
YEAR,26
YOU,17
YOUNG,22
YOUR,24
