,Sign,Mean Rating,Median Rating,Median RT,Mean Log (RT)
0,Time,6.42,7,"2,335",7.82
1,Home,6.37,7,"2,451",7.92
2,Night,6.34,7,"2,359",7.87
3,Internet,6.24,7,"2,628",7.89
4,Drink,6.22,7,"2,543",7.87
5,Work,6.2,7,"2,578",7.87
6,Understand,6.19,7,"2,565",7.88
7,Happy,6.17,6,"2,546",7.91
8,Toilet,6.14,7,"2,453",7.87
9,Food/Eat,6.14,7,"2,533",7.91
10,Television,6.12,7,"2,636",7.93
11,Car,6.1,7,"2,578",7.96
12,Finish,6.07,7,"2,868",7.95
13,Chat,6.03,7,"2,425",7.85
14,9 o'clock,6.03,7,"3,092",8.08
15,Week,6.02,6,"2,685",7.92
16,Morning,6.0,6,"2,603",7.91
17,Please,6.0,7,"2,579",7.91
18,Parents,6.0,7,"2,424",7.86
19,Sorry,5.98,6,"2,664",7.93
20,Friday,5.98,6,"2,702",8.01
21,Good,5.95,6,"2,550",7.88
22,Mother,5.85,6,"2,242",7.78
23,Phone,5.85,6,"2,526",7.92
24,No,5.85,6,"2,596",7.99
25,Hungry,5.83,6,"2,440",7.89
26,Me,5.81,7,"2,757",8.0
27,Shopping,5.81,6,"2,598",7.89
28,Milk,5.81,6,"2,443",7.89
29,Money,5.71,6,"2,523",7.9
30,Boy,5.68,6,"2,430",7.9
31,Article,5.66,6,"2,584",7.99
32,What-for,5.66,6,"2,542",7.91
33,Wish,5.64,6,"2,574",7.93
34,Get,5.64,6,"2,470",7.89
35,Communication,5.63,6,"2,659",7.94
36,Book,5.63,6,"2,682",7.99
37,Family,5.61,6,"2,503",7.88
38,In which,5.59,6,"2,575",7.95
39,Same,5.59,6,"2,605",7.95
40,Sleep,5.58,6,"2,718",8.01
41,Numbers,5.53,6,"2,540",7.89
42,New,5.53,6,"2,676",7.97
43,Experience,5.51,6,"2,715",8.0
44,Canada,5.49,6,"2,601",7.91
45,Play,5.49,5,"2,430",7.93
46,Show,5.49,6,"2,469",7.99
47,Last,5.49,5,"2,677",7.97
48,Father,5.47,6,"2,589",7.89
49,Wait,5.46,6,"2,409",7.87
50,Bread,5.46,6,"2,673",7.98
51,Break,5.42,6,"2,611",7.94
52,Bad,5.42,6,"2,657",7.93
53,Learn,5.42,6,"2,617",7.92
54,Year,5.42,6,"2,683",7.97
55,Which,5.41,6,"2,543",7.9
56,Announce,5.41,5,"2,637",7.93
57,Explain,5.41,6,"2,568",7.96
58,Worry,5.41,6,"2,757",7.93
59,Cancel,5.41,5,"2,647",7.98
60,Decide,5.37,5,"2,722",7.98
61,Warn,5.37,6,"2,513",7.91
62,Key,5.34,6,"2,717",7.99
63,Look-for,5.34,5,"2,579",7.96
64,Feel,5.32,5,"2,564",7.94
65,High,5.32,5,"2,390",7.88
66,Anyway,5.32,6,"2,581",7.92
67,Tired,5.31,6,"2,471",7.86
68,Know,5.31,6,"2,585",7.91
69,Equal,5.29,5,"2,608",7.92
70,More,5.29,5,"2,606",7.94
71,Hockey,5.27,5,"2,466",7.92
72,Print,5.27,5,"2,806",8.0
73,Angry,5.27,5,"2,551",7.95
74,Monday,5.27,6,"3,022",8.03
75,Pretty,5.25,5,"2,458",7.97
76,Sick,5.25,5,"2,579",7.9
77,Travel,5.24,5,"2,593",7.96
78,Make,5.24,6,"2,541",7.94
79,Fast,5.22,5,"2,726",8.0
80,Other,5.22,5,"2,564",7.99
81,Graduate,5.22,5,"2,583",7.94
82,Check,5.22,5,"2,801",7.97
83,Day,5.2,6,"2,789",8.0
84,Man,5.2,5,"2,834",7.98
85,Hour,5.2,6,"3,125",8.07
86,Responsible,5.15,5,"2,451",7.9
87,Washing machine,5.15,5,"2,481",7.91
88,Baby,5.15,5,"2,748",7.95
89,Health,5.15,5,"2,629",7.94
90,Brother,5.15,5,"2,592",7.94
91,Salad,5.14,5,"2,731",7.94
92,Who,5.14,5,"2,743",7.98
93,For,5.14,6,"2,476",7.89
94,Hearing (person),5.14,6,"2,759",8.02
95,Magazine,5.14,5,"2,700",7.94
96,Glasses,5.14,5,"2,784",7.98
97,Girl,5.12,5,"2,720",7.99
98,Borrow,5.12,5,"2,582",7.89
99,Call,5.1,5,"2,554",7.91
100,Medicine,5.1,5,"2,727",7.97
101,College,5.1,5,"2,692",7.94
102,City,5.1,5,"2,677",7.93
103,Jacket,5.1,5,"2,815",8.02
104,Game,5.1,5,"2,627",7.92
105,Cost,5.08,5,"2,705",7.93
106,Trouble,5.08,5,"2,777",7.98
107,Thirst,5.08,5,"2,554",7.94
108,Thing,5.08,5,"2,613",7.98
109,Life,5.08,5,"2,479",7.9
110,Vegetables,5.08,5,"2,664",7.98
111,University,5.08,5,"2,687",7.99
112,Wednesday,5.08,5,"2,938",8.01
113,Bath,5.08,5,"2,470",7.91
114,School,5.05,5,"2,692",7.96
115,Hard,5.03,5,"2,745",7.92
116,Bored,5.03,5,"2,948",8.02
117,Camera,5.02,5,"2,493",7.86
118,Four,5.0,5,"2,765",8.02
119,Past,5.0,5,"2,906",8.04
120,Laugh,5.0,5,"2,671",8.0
